"feature","view"
"Ruminiclostridium_1","Bacteria"
"Ruminiclostridium_5","Bacteria"
"Ruminiclostridium_6","Bacteria"
"Ruminiclostridium_9","Bacteria"
"Ruminococcaceae","Bacteria"
"Ruminococcaceae_UCG-007","Bacteria"
"Ruminococcaceae_UCG-008","Bacteria"
"Ruminococcaceae_UCG-009","Bacteria"
"Ruminococcaceae_UCG-010","Bacteria"
"Ruminococcaceae_UCG-011","Bacteria"
"Ruminococcus","Bacteria"
"Saccharimonadaceae","Bacteria"
"Sanguibacteroides","Bacteria"
"Sarcina","Bacteria"
"Scardovia","Bacteria"
"Selenomonas_4","Bacteria"
"Sellimonas","Bacteria"
"Senegalimassilia","Bacteria"
"Shuttleworthia","Bacteria"
"Slackia","Bacteria"
"Solobacterium","Bacteria"
"Staphylococcaceae","Bacteria"
"Staphylococcus","Bacteria"
"Streptococcus","Bacteria"
"Subdoligranulum","Bacteria"
"Sutterella","Bacteria"
"Synergistes","Bacteria"
"Terrisporobacter","Bacteria"
"Turicibacter","Bacteria"
"Tyzzerella","Bacteria"
"UBA1819","Bacteria"
"UC5-1-2E3","Bacteria"
"Veillonella","Bacteria"
"Veillonellaceae","Bacteria"
"Weissella","Bacteria"
"Agaricus","Fungi"
"Aspergillus","Fungi"
"Aureobasidium","Fungi"
"Candida","Fungi"
"Cladosporium","Fungi"
"Debaryomyces","Fungi"
"Dipodascus","Fungi"
"Filobasidium","Fungi"
"Issatchenkia","Fungi"
"Malassezia","Fungi"
"Meyerozyma","Fungi"
"Paraphaeosphaeria","Fungi"
"Penicillium","Fungi"
"Piskurozyma","Fungi"
"Rhodotorula","Fungi"
"Saccharomyces","Fungi"
"Sclerotiniaceae","Fungi"
"Vishniacozyma","Fungi"
"Acidovorax phage","Viruses"
"Acinetobacter phage","Viruses"
"Aeromonas phage","Viruses"
"Anellovirus","Viruses"
"Arthrobacter phage","Viruses"
"Bacillus phage","Viruses"
"Bacteroides phage","Viruses"
"Bacteroidetes phage","Viruses"
"Brochothrix phage","Viruses"
"Burkholderia phage","Viruses"
"Campylobacter phage","Viruses"
"Caulobacter phage","Viruses"
"Chrysovirus","Viruses"
"Clostridium phage","Viruses"
"Corynebacterium phage","Viruses"
"Enterobacteriaceae phage","Viruses"
"Enterococcus phage","Viruses"
"Environmental dsRNA virus","Viruses"
"Escherichia/Shigella phage","Viruses"
"Gokushovirinae phage","Viruses"
"Herpesviridae","Viruses"
"Klebsiella phage","Viruses"
"Lactobacillus phage","Viruses"
"Lactococcus phage","Viruses"
"Leuconostoc phage","Viruses"
"Listeria phage","Viruses"
"Mannheimia phage","Viruses"
"Megavirales","Viruses"
"Other phage","Viruses"
"Other virus","Viruses"
"Parabacteroides phage","Viruses"
"Picobirnavirus","Viruses"
"Propionibacterium phage","Viruses"
"Pseudoalteromonas phage","Viruses"
"Pseudomonas phage","Viruses"
"Rhodococcus phage","Viruses"
"Shewanella phage","Viruses"
"Sphingomonas phage","Viruses"
"Staphylococcus phage","Viruses"
"Streptococcus phage","Viruses"
"Streptomyces phage","Viruses"
"Vibrio phage","Viruses"
